Batch,Heigh(µm),Spacing(µm),Span(µm)
Batch 1,180.86215675751535,621.6810690377871,86.255938710859
Batch 1,274.3407530701393,529.3187243854649,82.4590209070688
Batch 1,241.55965547522447,419.7574100291244,82.14487753864475
Batch 1,180.3639887993924,451.2688334628347,102.35829330697493
Batch 1,243.62778676320067,491.3497818842202,112.03059562211703
Batch 1,233.2787224910271,433.6319613406296,87.9993507222419
Batch 1,186.20899325063647,504.74351605965586,101.38657635383555
Batch 1,188.84650889550187,595.3944086383165,88.96410269117268
Batch 1,185.79128066522298,486.7630472078649,99.9135252779696
Batch 1,226.6567448387977,538.5751423827678,96.10395669598365
Batch 1,175.19088928591646,541.4087779354917,104.40217487485006
Batch 1,244.95807958930027,529.0816508413034,76.14359599834597
Batch 1,259.7938772142993,534.738245903281,71.43291771107377
Batch 1,196.7343352096171,506.49064876694035,92.54734461390522
Batch 1,221.97654054608586,543.276389633667,98.96471646568583
Batch 1,208.11295153595992,597.958018001209,91.71168023895422
Batch 1,181.30960587042696,555.3428462114605,84.46101674822862
Batch 1,238.1098493175398,526.70754868867,79.55539562995452
Batch 1,204.62672067239936,462.9154717293335,74.98373106945805
Batch 1,237.29618895843237,561.2602025315557,91.21607126325095
Batch 1,220.89611263775868,456.2586076030317,87.12429336234231
Batch 1,166.72841557097817,558.6021444334532,93.62367598469888
Batch 1,274.9776104260833,479.4568734226705,81.854499236768
Batch 1,189.33014598893982,647.9214284835275,78.8268646812764
Batch 1,256.6258936647789,573.7186685518075,104.67615969369282
Batch 1,266.2996008109442,474.43338790263135,96.88562242862463
Batch 1,202.49730360025148,554.4364180929495,109.32180303991966
Batch 1,204.3351100883135,611.4573342111778,91.28905098345426
Batch 1,188.1419336984174,431.0780286366866,100.95471380794491
Batch 1,270.1241244569595,541.3838028213543,84.76606499055286
Batch 1,177.12291360466898,498.17724521148614,89.19668669946984
Batch 1,168.8114585889379,527.5152985737432,88.97834730708414
Batch 1,258.1049087459582,536.2181745166624,86.60263384430264
Batch 1,219.5851092233175,434.58997550024253,83.5671405130991
Batch 1,241.57492901222713,623.2223900966457,102.32307903438443
Batch 1,192.7002994327987,512.451503691159,95.33953262501916
Batch 1,259.1123256884679,597.7386866572035,99.56023877227773
Batch 1,171.55850446500588,466.12653374557635,85.81976393864731
Batch 1,183.81684933628034,553.3588577290254,87.49681479646009
Batch 1,155.91282501263038,400.0,89.44467291430563
Batch 1,239.10413063372602,555.1574454828585,86.71912039227496
Batch 1,181.05420992745763,601.6168867627407,90.29316342047547
Batch 1,201.0340472034815,592.710532674326,91.11326633506103
Batch 1,261.1778837065041,617.7814634846418,98.57001759812968
Batch 1,271.44403147978625,553.2869858275963,85.8604871353523
Batch 1,194.44664121003046,598.8885309977308,86.30976061561995
Batch 1,175.13109691887476,495.8727944448671,90.66937275290165
Batch 1,254.77986300644227,439.073587700198,78.65483263916445
Batch 1,243.4891200323322,632.0372215286804,76.67382739437146
Batch 1,201.91545289182977,531.5343380988323,81.29033005387261
Batch 1,247.64512803830658,453.89805700211343,92.16102217251287
Batch 1,180.411666151335,573.9624790427852,93.08160639177828
Batch 1,187.21614646106948,583.7503038610834,92.45482136300032
Batch 1,251.6195863645608,642.5198206106652,81.07625664324505
Batch 1,160.05118229544007,545.4479753836051,90.59128356904228
